name,category,color,tags,gender,image_url,version
Brown Slip Ons,shoes,brown,everyday,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Brown%20Slip%20Ons.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=Yx1DaraU2yDsdb73uoigGsQXky3GYVe1GgGdWzdwGyJsfkquGCqLrbsTZHfeG6jEB75v5ZJ1spL6felLGlaFyOl0GHtgN%2FNS1bjY5DoudYEy9EQeEBUwDZ6%2Bt%2Bm6TnQqrPLMsGp1Rj%2Ftk%2F8rS%2FkwUoG5VjkSOFl%2FKDhEcKpYFmTv%2FRiYasiLCBietrA%2Bztw52HQ1oxReexmazYYNLjutoIfaNPPEVZuGcpFsZlmpOJuRfbanTrDHjhueAZ78K7fjV903vvVOb0HSKMevKqGBiMno3GrhH9VEJnJoGtPwfRFcVaaEsotFN4LtfoQEV24fdE5n913gDcJj%2F4hC5Gr6Bw%3D%3D,v2
Classic Sunglasses,accessory,neutral,classic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Classic%20Sunglasses.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=pa2my5eCcVemZnEK3c6tcs6HtihsE0hEYKNJoIeMUPCN03D2m4tLLSrJ9Bm7d6p88UNpWjYIgBTtBJq23uY9IygIgPnjlKPEYknhgV3PQrJ0bY%2BGa9aJcVrCZ9%2Fzrd%2BV%2FUMD3oCV0TjkgQ1oB8Jf%2B0%2F0o0q3hHpdEl7WcUrVg7CcfTaW3uqGonLseef46OW0qnWXXOew7Cj%2BvarNV7LUtI%2BPo1uW%2B%2BkaEefnOrBa9R2y97FjTDIDOvhkMbhe9SNFOrP%2Bt1%2FBz0S8q8%2FfY%2BMtKQ%2F5A2PIOqp8CXLPJT0Op7wvd%2FRCVt8%2B2hm%2BROy%2B%2FVW8DvDRzVzzDa4u1GdLhtW2uw%3D%3D,v2
Grey Casual Slip-On Shoes,shoes,grey,casual|everyday,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Grey%20Casual%20Slip-On%20Shoes.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=jy5qIsrJGwMw%2B%2FL%2BCRK4Ki7s5Rb3wHiZ2w42P3O3hiuIQAWa47A9oWtN5KRTrQysVeE9hJbCVqTm0J%2Bh1wmbwfPPg7NHlS%2FUoQH0ZYSpNYdxUkqblFd23PyJ6J0Eu0Yxk5WFJjLY%2BexfqljTiOHulAYcDpiBy%2Bx4HHejG0MKy67xBSxv963RE1qPM2JefRDnP3QSwVOLqFdyFvXyrbY0H9Sfz3Yc25RhMHvXOPzRcUqJd2lJaSRSTfO0dYKjLaJhBGZKYuj6lZhDXoBBEdTJBV5WpccMn9jy2%2BPVLPjFLBPHPPSZbjQuP8HzZOXv1iMHcqFlwMczJE8mt0KDv3uFSA%3D%3D,v2
Grey Formal Socks,accessory,grey,formal|classic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Grey%20Formal%20Socks.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=NeslGd%2B7OqXhyVqzhFqNKGCclV50wu1DC6Wa%2FSpoTUAWyNbZa2B4%2FQhJhkcVaDa2RquCy3aZaTpDRGYjxT%2FDyjaYZMTvDb6qmsgSuImZcu7ZEw0J6Egc3bh9kzOy9M3v3eMBOrorET1KiVamLUNRUK4I7QWP7278IA5btIiLjy78zC1fpcCYJalc68N%2Fl67xLWHXIJp%2FyUwEfTYPH7AoJqcLpNub7hSdAqxcXeqtEz03O37vclQRe8CTd3RyCtSMeUShzffMfpOf%2FSzdlzc3YtdTqr8N37MuFaPh4DrptXEFrCtF8j43xAB%2BAHCmv8PI3C4Wkmb%2FccbLkXg5hJfnaQ%3D%3D,v2
Grey Hoodie,top,grey,comfort,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Grey%20Hoodie.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=Pe%2FB%2BYxM%2Br49yHutIbGCza%2F%2F8HCU8tnlBfqfcXJJa4KPa%2FyTtMnrrqal5WMgLShpzCwts42T3Ke34Yuz60gkVMCvSsXjjZzrK2P%2FWCzNCCuyFlrJgAXwl0S1UWa375LYUUNFdW93NFVt7w%2BRsNtAzg%2FNvQK5kFhq0c%2Fr%2BQ3cripuWRsjFWp6iuuUHXxirxK1DtYkzaYghKnEGn8tjxj1KFq00%2B2k3XLDsnBUtSDs6B9qWm2jvY1V8jyOcSzlWDnZU0q%2FQCB9CGgl%2Bi9KPDx2W6AdIcTuovuloUvvKWPQbkz8vbf8fuCOPuk5OnIUhfwCBOSKJ%2FdXSQnVmGkmCOK%2BYA%3D%3D,v2
Grey Lightweight Hoodie Jacket,outerwear,grey,comfort|layering,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Grey%20Lightweight%20Hoodie%20Jacket.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=zKc4Tc%2BwT4S5L4P3gjfojGwe3akn0Vhy%2FIU2yyOyEdK%2B%2BtSTrEnO6djP9ukJ8bA5qpR4dtqni2PFdGCz21soKKLogdmG8dwD9OD%2FOrS0W3sF%2B1TSYxDrYfugEdtcS8pehAY1jQ3wXWW9h8RPiJLwdi8%2FYohiLHehcaV6aY5tRkUZmtJJ55rIe%2Fm589AUQw2ZsmwOz0VfNo%2BtVl3p2m3jpylITi3L3pnW59R0THbc6dbsU45APHGJ9lIpea7TGEc%2F3ygY%2Fzi2MNjEwnACAKg4%2BhhdzjKxKhXoDyVS2nnTLxGjMS4Aq2vtRSCuo4l%2BT55KKsEfQeh2geJ9TxqqdVRp1A%3D%3D,v2
Grey Neutral Crewneck Sweater,top,grey,basic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Grey%20Neutral%20Crewneck%20Sweater.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=O%2FYdwudR1RPpJqre5AYS%2F%2F8E0M%2FfKW5KyGtRx9HXGcn%2BcpoihMuyFL%2F2vaDST5kJKxvnl5FMvq5wCI9UOdxDz9QAiWKj1naT1bocMlAEmyKqmGugi6hH6uWSpVDmNty2%2Bfanj30%2BFu7nY1PsniOxTpxeFJgYqLHmpXPi0u1fL%2FWo4LZULOy838ulmek2Ka%2BZpXU4X%2BJOOw6JpT2mLqPnFr%2BoelTV7WTMWDl68PrVkSqowbgRAuFv48fbir1tr2p7qYx71HWVut%2BgJnBnHAI9jzdt6sVEfJh7dYSxcpUyDcYPThlaVIht2lli5eyxwDm%2BFh5PEF9D9XMB%2B5by0x5cLA%3D%3D,v2
Grey Trousers,bottom,grey,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Grey%20Trousers.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=uQpugfPrwRob6V6BfVIFLosWxuOMUG6DUQDgeyCnUeEs1k%2BdWVDibKBRVXcS0egW5O0whtnwQMLqny%2Bxq1k1tQCU4YvzFI5tmOKddbAzLx%2Fb9p1wJKsUWy8xKh4S802PK0FOyJM3kMV8pabcAd23rWD2nhy2k81JpzNQV04j4tO03d0JBuRwgJtE6BbvRClPw52iQolUAZS7uNE0RtJNTqhsdbH9XIGw2YLkSWoy7Uppz04KQdaBp%2BbzpsXGlt9PRwDTD3WJbF7WIKlUCdL9P2pHsBXVZ3sRfxjUBzMODBUIDYzYCzmxoNC5hfacI7ie1GIr5gBdysuC6xZe1C041Q%3D%3D,v2
Light Blue Button-Down Shirt,top,light-blue,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Light%20Blue%20Button-Down%20Shirt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=zdEA70IKOe7YUIcUtHieFQMAacERpUicGKgRyAwp3m8Dwno90sT%2FV60KZzh2cMs%2F7celk2qFqfkUhYuc74vNjqquViOB%2F0UVdNEm4hR2okFvterGWHjj6slJRQN79rPSD27R5q1jhtH0CeM%2F0XTvnfCss%2B7L8ebzi5YUFL%2BD3jWoKDu0IIZw3umB9aIkgVUMzCzMBi6BgSyYYFEHaKEU8KjNwCxD8e91jh30dYW4FjS77OscDdvVRpjXSXhOSzDaEbtaZYImu7TTcZagYeV2o9nsgJI5p83BpZOaAS7QWye0GvJSBCv%2FqK5bs8XsFqKFJNgi5wwTZxBxFtXx%2FXiUJg%3D%3D,v2
Minimal Watch (black strap),accessory,neutral,classic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Minimal%20Watch%20%28black%20strap%29.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=ixrAe0M7Zwwr7PsWE1qKMx6T%2BnQ4BR8Eo0OSMLtLCU4fL0%2FQqaNlwkbIwaPS2VzwJSmDrxAX%2Bgj0QgMeDX5xa41a3vZDuui%2FheDTTmJUHhs3iqYFCFOcI%2FlpisSv%2BykUvYx1v8p1RbokHzHEstaxPJXGvszHMn5yFhtkGxy9TLg9gtGwfe1wS%2BOSgPd4VBGWVY%2FtE78tdoBobfmBAFTmP5D5BZ4zuAAhIltnaNcegKG58hF04rTaJLFaraE5MRvOnvvjQHPrr18OsLhmuOBR0wqcivpCNPIbMu7HC6MW%2BgquWDd2fxALMDQl1%2BaUlAZTDOOKyQSMAvL7bClPrt0dQw%3D%3D,v2
Minimal Watch (brown strap),accessory,neutral,classic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Minimal%20Watch%20%28brown%20strap%29.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=xDEXGH1mJbQB6s%2BEPOtKN87%2FnFPzxwqMDhgczzJ2cmhdUe325XBX%2BvA687BnGafS74%2BZKbsxlTeVXs5ct9BeLTqrLRcNjPqK7qW2lO3i9RSyUyDy3KH3LiKH7PXe8U25QbNQSI%2FuFuPV0CzJt7jpGgAt3PFFew9oflzk2gwp%2BIT6asXiAi86w3W0Mcr%2FCcWStHrzxl7RdBtJn8LybgsP6Mb%2FXRaUkJGEo1Ewhv5KPpoJwPTFfLCF28WP169%2BWNyhdhgi1SPswgzQnXe1p3iPdSI26iMeEF02IC6YC0JqbptxvFvY0zjWbPxx%2F0EqUNisX%2Ben4iW7GQu1WWJccTvXEA%3D%3D,v2
Navy Blazer,outerwear,navy,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Navy%20Blazer.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=nFo4TVL0oEGN0MmW%2F6U94T4Tm7Ixw7M22R0VQe5wnXdXnYAX7ISQMHQ1nrVl%2BzZwDeMnEyBzFDh%2FqSAZI46yE%2ButD5FL2K29sqwxPCgWZH%2FxwlDeMPqSqPgYBiU%2Fm3HIt19eetZuRC2Jddl0j397ekMBJ3IDId3CvsfItldaTAMgNAZPZ58miHCYEQ%2BI%2FOUp1jM3NtbYnIS1xde3OS53bMbff99dwzfYr9f8bO6%2BY7z7PAufkhAAcm1KQmFdVLw0jfBSkV969ckt3mx3Fm6mMCkldMe844Kw7I1YepXgcHyqHXMYl7YT7yTFG4ri22EAAuw9aQq9jgfDwiUvBGyV8Q%3D%3D,v2
Navy Chinos,bottom,navy,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Navy%20Chinos.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=Js0nMaIORMg3KIRkQbaLYaHB%2BK%2FHLxE37khi18KLWazdov2QKape2c6zdFF2eppQN%2BrDBpopAo98UrxX8ZbJcacUTTcNy6QVn%2FPtbf6X%2BDxTpfKQ03iGZvx1lK%2FhznCNF1Gg8R9hCF3XUgS%2FvBu%2FqTcEn%2B07TTVp0Xyvypp%2Bdsb5QvK%2B7o%2FmC6a26YuTQF%2BOY1LTicbQAiTyPOyFqE1Cs8t9qTgaPJpveNYmWMU6SJodDA7fA05nHSgPcnGHSW%2BtIkKgS1WXVDQ%2B3Vw6qgJoHvSweooX9r5OCq%2BT9kh8EokE9jFNWye%2BfTGc6MA2i4QQcNpIzL5HCitnPnoPtMfleQ%3D%3D,v2
Navy Crewneck T-Shirt,top,navy,basic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Navy%20Crewneck%20T-Shirt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=HrKyTFKN1LFuYOAN%2F%2FiEwuweb7eQLMVz2lkGZK%2FtJTwI6buu2yQIM1xmApnQg2HnjCqSFKWLq33SIk%2BsxT%2FXKWrekiBHeK0p0NUWMp3zG9oMRnbv3Zs2LsBQ2YGsQ2zAUx07SHlKCWnhpKltOk%2FiPHdb%2BMue1EDDMIxkCz%2FwiA81PshtdsDiV37%2Fr%2BcWrJ8BejL%2FrW8z7IsoTfCkiA9zeMjY9LtYrMfgKh%2Bki3FyJIhgunsP7onKJjiZTVHIlviWSJAAIa2eDxmWA5oZpGsklzsC49588z%2BouNFHCnwVNOJKXRx7mRaJA3281K%2B4E3lAM1kTFIpxoDjSF5a5f%2FS9Tw%3D%3D,v2
Neutral Backpack,accessory,neutral,classic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Neutral%20Backpack.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=l2m2jEkuEVXsm%2FhSg7gxL9uPI9OanR3Mrcarg3qcgiPN4kkOQ9W1z07MFWpaeXoDo1N%2Bh626f0jrNnecB0zyMX4wn%2Bb6rmM6LGE0E17MM0YM3nM3ifzYVMQXLR9lQU%2FRWbxmUxfMZZkE3J1LmZBFXeldVIC4O3vaVHC7x3%2FWZF%2FSlRFUyd46DAyXb4N6yTKQPfDPDWuzrpHN0rhHkiTQWy7GMiVvP4WvsC%2Ba0VAn7bLwFCxT%2BVV5dgHZONovrGJX5DQXCIv3wJPgNP7FIKIDSmJnmSCiifWmNUQr2TSClx86DGhD0jaogzuKIKG%2FBa5c3oFU1mupuUX2Aqh%2BXLoDWw%3D%3D,v2
Olive Chinos,bottom,olive,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Olive%20Chinos.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=evWPF2HBkqPuLW%2F3G7leQtTMTLGG6gueRixzZ%2BYNNrojxFO%2F4inZNqdYue905BdM7lMUpbPsg%2BNWijKo9fANyJV%2FWKUb3DkpxR5PTG7mtxEUJRM4npFU0RrPwDMalEPU7EiaAqLIM0qD0DY5L8bcBAtSC1kCRVueXJRT%2FJeIJbPkNeySI7Mx9xQR%2BW1nQ8cNDXSKoGNseZBy6ZiHNc5qAViZEWlfC%2BHHBpuPmg30p5a0Sl2M7lPQpKDBNKe78cKj9InyWzDM1u3CLShYb4mhEHveV%2B872Wp%2FY8Vk002SDNDPXC2wfJ9Kt7neVPW9RPSlM1i3lu%2FeLrmUfJ%2FwSrV8EQ%3D%3D,v2
Sports Shoes,shoes,neutral,everyday,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Sports%20Shoes.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=ivd%2Bjobt9tDhNBzlU6kCwMFMmYEfVnrDD%2Bq1KkAJihxRGJhpJesAUcM3X3l6Qe4NpC1GKBstWpVyAiLjftkgbc%2FbnHiwrCXj%2B5NNYimsWA56UVM9ArzeKmCeHIZ%2BvoGsFYAxEV%2BQci0ErmLBDNh9HFm9FRY4TtTi2sXktjYBylO0e8FK1JrvBhzaM98eHrNpC7tZo26EngWrxis01Hug%2BkVkkmthciyQ48tGmQ7pWwQCS11U3jAExAZyUnqF9cCLLgoD4hYgUb1p0prPYEcivLVmoNW702IbLuRvjS4HZf2XbzmTA4ckO%2F%2FEwvz8NoiEof1t%2FekUrXwnIzJ%2FafZQIQ%3D%3D,v2
White Crewneck T-Shirt,top,white,basic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/White%20Crewneck%20T-Shirt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=C1ImhH4iUxp0gbwodSe9I7G1bTWbdi7MO%2FTmHa5Gdu3nrcP%2BSkF6wK3eNYl8vC6Mld9z2RGm32NpSRA0YqFh3RQqT%2BGoNIZdnob0w%2BGJsPQEbi2TuQm%2F3FBHshLzcZasm3gtBuPE9MP8hWjNdKtUYfoWE9U3tE6c1ZTkFlMqjnkJIqt7NyZcp11jtnIUpnuBbiehDxIQZYbxson1OiLV9B%2FBxvDcao%2FG03O6jxJnTOZ%2B3K0NRtI0tbr2KKJTE5m6s6dJ%2Ft2YdmnwQQ73TBf%2BTN9o1sP9pXOUQWjCrbU%2BiR0gdxuAjI0MwgzKiacKSQ8CTfEjsU5EFVGaiw9PytJhIQ%3D%3D,v2
White Formal Socks,accessory,white,formal|classic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/White%20Formal%20Socks.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=CYwqG9CejnZEConaJ3QObYnvxSM4xVKjmDp1yNst1cW2UpvQpNf5aYre88bSg58p6bBlsagAng0iZ7EpLIg2plL31kuLzxKQ34RG4qf2oI636efcWcGUZWXizKEZp%2B%2BplUaewZ%2Bvf31Bw9qU1%2BEmsZnnEwTEBmVNV8kmO5JQS0hsHQTUhR5NUEnlI506Y00F7j4obJuotd0ck%2FAMJ40LvLxRGCYq309fqeSGjfn0traO70bRJEPstaxuRLjtx111RGRmPU2skbW%2FV%2BkPfLdHbwb1Tlo03%2F2M8umh5Yf5rblJ2Df%2B90pExR%2BI0i2q9hN3GSzSNE3LrjrV2cc7s9wCKw%3D%3D,v2
White Linen Shirt,top,white,summer,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/White%20Linen%20Shirt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=THGzZF7FNL%2FJ1mvPTwcjXbPjDzhuTz4nSPZKf5sMFT1lK8if%2FxZphXpBn61dj5e6DUygTaazGQe1ZKcDsV5YoW6FtBiwVefp9N%2FayQoWI0HnK9P%2FQhxdEP7k0j8Lg4FEYWt2P%2BoaBYexBC9e7Q7riBF8i%2FO5Dglx%2Bt3DGmYMaOW9bONmPxLK2ShMaUJPMpGLJVtCTkj99Kpye6mpl8o7OCeIbHqwcR4tc8HMPgAZrNz6Hwpwh4GT9KVnwJP5Lxb2OW32fKSoSwiG5k5giHdF0acmXLzgUeq5Cs46LE0ljyf%2FANCAqgGhrmvauHDw8JZGIU5loWpdBMK1hcMAuuB92w%3D%3D,v2
White Oxford Shirt,top,white,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/White%20Oxford%20Shirt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=XhjGnca3TBzkvs4z4A%2F8RnJP8G35rGLLZwYhUt4B834hFLByoDo4p4EQzQ7seiNbP7dc%2BmzHg6vgYm2hGA8qBO%2FmalZh%2B2hbViroPjoeSz%2FfRZju6xyudGBQHmTziStXPiPGMlRfjRaha3XvIT35BEB4C7FzyzYy3kGVzZVrFbtQZuuiZsAj06Kw8T5w2lJ3JvzcPiiZB7ir9aUSvf9jsRjH%2FJGlpPD0jeeeNxJZlKnzcI5lykfGOdR9eUiArtYtg0GcmaYdrLC%2FD38gjILhcQON2lKPwle2cSWHC7SKPOs0LIWqi6PLa7Jr1JX%2FA9D2W6ytmxWc7UXoF1t9GnwQfw%3D%3D,v2
White Polo T-Shirt,top,white,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/White%20Polo%20T-Shirt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=J3BtS8RvV5EwXzg28onSpCQttiPoAxn9QAA9fHDm%2FZYUHEP93SJizfk4Ikj%2BPSy1EHlu2nKFw210QBuaQl66gmW0CE3TY%2BczlYTMNEuWxGb1aGCwB%2FNAO6VlVHjPFaf1M3GA4zswLXEqA42Y2Tdjm9SJWp13PtG5%2F2r5Pn5aWmwDQC9FgLEuegzBbaYySq%2BmmTEGmIdFsmzkgJzU%2FS7BDRShg2Ux85dE45HxMYqPnUtVBjmJ1OLbcaZbIu8EYm8QMZzzeUsEM3NIFB6ikr2BQwcnRo5oS1Fu%2FKN5MHRM%2B%2FB8591PFzDstZCTq0SkL%2FTWO7P%2BY2j05CzD365rXYtP2A%3D%3D,v2
White Sneakers,shoes,white,everyday,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/White%20Sneakers.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=HLmbHAn%2BjEUs2QlSE9bgMe%2Fn%2BB%2FQPYPIIC7dyG%2BDIYUvhDroq7MTapl8LKH2U%2FLTAackcrJP4bZYDNB57Dm%2Be%2FDHzOFLg2EpD1iOkuMyInfEzyarammW%2BDbjwnXGq2LCttNW0q6lI3WdxACE8IFPCAhxly85a42KE3qiTUUQjXq0kWQKHsHQOXbrLBw%2BZpCozrQVf5WKzPnKV%2BrJiAS5gQf%2FZjNqGUlydmsnxOzAwZeSkHVkxXsdaYJgm%2B2L42IPuY1bnns3t9apITbf9tsAgmpdk%2FIiz3jUbFGjT1tlkSlVMhYnyEoAoalvP7ArbI2R0f6G8RbV2lgfpMUH%2FSYGJQ%3D%3D,v2
